id,year,country,shannon_diversity,field_of_study_id,rca_sum,female_share,name
1,2015,United Kingdom,4.29707932754066,6557445,1.80898563634339,0.230870681605976,Agronomy
2,2015,United States,5.41118624473272,6557445,1.07500165420499,0.317352092352092,Agronomy
3,2016,Australia,4,6557445,0,0.208561808561809,Agronomy
4,2016,Germany,3.8073549220576,6557445,0,0.391587301587302,Agronomy
5,2016,United Kingdom,5.38952842353081,6557445,2.20763028221592,0.274436291817393,Agronomy
6,2016,United States,6.01158855113841,6557445,1.43888077858881,0.302700666750091,Agronomy
7,2017,Australia,4.95245665454105,6557445,4.38447315396468,0.259651708831109,Agronomy
8,2017,Brazil,4.22192809488736,6557445,2.2970566318927,0.231288156288156,Agronomy
9,2017,Canada,4.83418371977919,6557445,0.449644459030741,0.353805272108843,Agronomy
10,2017,China,5.28008694391339,6557445,3.18757432141318,0.182814607324411,Agronomy
11,2017,France,5.52482557095792,6557445,1.46244440491016,0.286883897222243,Agronomy
12,2017,Germany,5.43218779463526,6557445,0.369223859144808,0.270182182798282,Agronomy
13,2017,India,4.07065611315193,6557445,4.65130139569974,0.36963036963037,Agronomy
14,2017,Netherlands,4.64851046016507,6557445,0.366208309821508,0.317578255078255,Agronomy
15,2017,Sweden,4.59306920777189,6557445,0,0.319910236822002,Agronomy
16,2017,Switzerland,4.93213803975938,6557445,1.77930735930736,0.295906737350588,Agronomy
17,2017,United Kingdom,5.99475778428331,6557445,1.52771875483971,0.273014370785456,Agronomy
18,2017,United States,6.74459285388252,6557445,0.568178048106165,0.312177505760603,Agronomy
19,2018,Australia,5.17527329788596,6557445,0.971117007742358,0.333373635555353,Agronomy
20,2018,Canada,5.8405044101653,6557445,0,0.338812924834144,Agronomy
21,2018,China,5.99791209919168,6557445,1.91140894782028,0.260827490622011,Agronomy
22,2018,Denmark,5.0886296251082,6557445,2.22210762704816,0.339090830666918,Agronomy
23,2018,France,5.91886189049465,6557445,1.359890053955,0.338846454640397,Agronomy
24,2018,Germany,5.98406173483448,6557445,0.718569123184508,0.353762595544187,Agronomy
25,2018,India,5.34524830994463,6557445,0,0.3566687280973,Agronomy
26,2018,Israel,4.30350885479768,6557445,0,0.236111111111111,Agronomy
27,2018,Italy,3.4677201004745,6557445,0,0.463895363895364,Agronomy
28,2018,Japan,4.6312929881819,6557445,0,0.212662337662338,Agronomy
29,2018,Mexico,4.57246945877014,6557445,0,0.295681605975724,Agronomy
30,2018,Netherlands,5.89391900517781,6557445,0,0.350961810088794,Agronomy
31,2018,Saudi Arabia,3.18200581476021,6557445,28.2414376321353,0.240734224724373,Agronomy
32,2018,Singapore,3.41829583405449,6557445,0,0.201566951566952,Agronomy
33,2018,Spain,3.96981578242681,6557445,0,0.332121057789507,Agronomy
34,2018,Switzerland,5.37331413615696,6557445,0,0.280520818410092,Agronomy
35,2018,United Kingdom,6.64315641607264,6557445,1.8162752577709,0.322052145889348,Agronomy
36,2018,United States,7.15055735684367,6557445,1.1538852622876,0.320743703988148,Agronomy
37,2019,Australia,5.95754763022006,6557445,0,0.274723114289806,Agronomy
38,2019,Austria,4.42325179698034,6557445,0,0.254166282362159,Agronomy
39,2019,Belgium,5.01385809623352,6557445,0,0.248728097299526,Agronomy
40,2019,Canada,6.32487644420807,6557445,1.53619218679838,0.338903946119183,Agronomy
41,2019,China,6.75483723830815,6557445,3.62814621040724,0.251952187599446,Agronomy
42,2019,Colombia,3.75,6557445,0,0.358482142857143,Agronomy
43,2019,Czechia,4.29707932754066,6557445,0,0.440343915343915,Agronomy
44,2019,Denmark,4.96820984123319,6557445,3.87002262443439,0.335052355052355,Agronomy
45,2019,Finland,4.93502682021458,6557445,0,0.372120610870611,Agronomy
46,2019,France,6.63466986061486,6557445,1.55518683516683,0.317848362551582,Agronomy
47,2019,Germany,6.50910113364535,6557445,0.502851515418761,0.313688460327838,Agronomy
48,2019,Greece,3.875,6557445,0,0.21875,Agronomy
